iter	Passed	Remaining
0	4	4629
1	9	4675
2	11	3921
3	13	3454
4	17	3392
5	19	3264
6	22	3135
7	24	2999
8	26	2958
9	29	2969
10	32	2890
11	34	2862
12	40	3110
13	47	3355
14	50	3317
15	56	3448
16	58	3374
17	60	3326
18	63	3262
19	64	3168
20	66	3084
21	68	3062
22	72	3067
23	74	3012
24	78	3078
25	85	3201
26	87	3167
27	90	3158
28	93	3123
29	98	3183
30	100	3147
31	103	3136
32	107	3136
33	109	3123
34	117	3239
35	119	3199
36	121	3163
37	135	3431
38	137	3393
39	140	3361
40	146	3429
41	148	3394
42	151	3362
43	153	3342
44	156	3312
45	161	3352
46	163	3308
47	164	3266
48	166	3227
49	170	3234
50	175	3263
51	179	3272
52	182	3268
53	185	3242
54	187	3213
55	188	3184
56	192	3180
57	193	3148
58	195	3115
59	199	3127
60	201	3108
61	203	3076
62	204	3044
63	205	3012
64	207	2988
65	209	2967
66	214	2985
67	215	2958
68	217	2933
69	218	2908
70	220	2881
71	221	2856
72	222	2830
73	224	2804
74	227	2811
75	229	2788
76	230	2764
77	231	2741
78	233	2718
79	234	2698
80	236	2681
81	237	2659
82	238	2632
83	241	2636
84	243	2617
85	244	2600
86	245	2581
87	247	2562
88	248	2546
89	250	2528
90	251	2511
91	254	2514
92	256	2500
93	257	2483
94	259	2468
95	260	2452
96	261	2438
97	263	2424
98	265	2412
99	266	2397
100	269	2402
101	271	2388
102	272	2374
103	273	2359
104	275	2347
105	278	2345
106	280	2342
107	284	2348
108	285	2336
109	287	2329
110	289	2318
111	290	2306
112	292	2296
113	294	2286
114	297	2286
115	298	2276
116	300	2264
117	302	2262
118	306	2271
119	309	2267
120	313	2278
121	314	2264
122	316	2254
123	317	2243
124	318	2231
125	320	2222
126	321	2211
127	323	2200
128	324	2192
129	327	2188
130	328	2178
131	329	2169
132	331	2158
133	332	2148
134	333	2138
135	334	2128
136	336	2118
137	337	2109
138	341	2115
139	343	2107
140	344	2098
141	345	2086
142	346	2077
143	347	2068
144	349	2059
145	350	2049
146	351	2040
147	355	2047
148	358	2046
149	359	2038
150	361	2031
151	363	2026
152	364	2018
153	365	2010
154	370	2018
155	372	2016
156	374	2008
157	375	2000
158	376	1992
159	378	1984
160	379	1975
161	382	1979
162	385	1977
163	386	1969
164	387	1962
165	389	1956
166	390	1949
167	391	1941
168	393	1933
169	394	1926
170	396	1920
171	397	1913
172	398	1906
173	400	1899
174	401	1892
175	402	1885
176	404	1879
177	405	1872
178	408	1875
179	410	1868
180	411	1862
181	412	1856
182	414	1849
183	415	1842
184	416	1836
185	418	1829
186	419	1823
187	423	1827
188	424	1821
189	425	1815
190	427	1809
191	428	1803
192	429	1796
193	431	1790
194	432	1784
195	433	1779
196	436	1781
